宁波移动,#genre#
爱上4K,http://183.220.20.17:4321/udp/239.11.0.120:5140
峨眉电影,http://183.220.20.17:4321/udp/239.11.0.11:5140
达州新闻,http://183.220.20.17:4321/udp/239.10.0.54:5140
达州公共,http://183.220.20.17:4321/udp/239.10.0.55:5140
四川星空购物,http://183.220.20.17:4321/udp/239.11.0.125:5140

哈哈炫动,http://183.220.20.17:4321/udp/239.11.0.64:5140
金鹰卡通,http://183.220.20.17:4321/udp/239.11.0.127:5140
BTV卡酷少儿,http://183.220.20.17:4321/udp/239.11.0.129:5140
嘉佳卡通,http://183.220.20.17:4321/udp/239.11.0.203:5140
优漫卡通,http://183.220.20.17:4321/udp/239.11.0.63:5140
山东教育,http://183.220.20.17:4321/udp/239.11.0.140:5140

影视精选,http://183.220.20.17:4321/udp/239.11.0.170:5140
热播剧场,http://183.220.20.17:4321/udp/239.11.0.171:5140
优视影院,http://183.220.20.17:4321/udp/239.11.0.172:5140
经典影视,http://183.220.20.17:4321/udp/239.11.0.173:5140
舞蹈视界,http://183.220.20.17:4321/udp/239.11.0.174:5140
纪实天下,http://183.220.20.17:4321/udp/239.11.0.176:5140
都市剧场,http://183.220.20.17:4321/udp/239.11.0.175:5140
经典剧场,http://183.220.20.17:4321/udp/239.11.0.178:5140
电影天地,http://183.220.20.17:4321/udp/239.11.0.177:5140
家庭影院,http://183.220.20.17:4321/udp/239.11.0.179:5140
第一电影,http://183.220.20.17:4321/udp/239.11.0.180:5140
卡通动画,http://183.220.20.17:4321/udp/239.11.0.181:5140
金色童年,http://183.220.20.17:4321/udp/239.11.0.182:5140
风云体育,http://183.220.20.17:4321/udp/239.11.0.184:5140
文化教育,http://183.220.20.17:4321/udp/239.11.0.183:5140
钓鱼生活,http://183.220.20.17:4321/udp/239.11.0.185:5140
优视教育,http://183.220.20.17:4321/udp/239.11.0.187:5140
炫酷动漫,http://183.220.20.17:4321/udp/239.11.0.186:5140
时尚音乐,http://183.220.20.17:4321/udp/239.11.0.188:5140
第一剧场,http://183.220.20.17:4321/udp/239.11.0.189:5140

五星体育,http://183.220.20.17:4321/udp/239.11.0.234:5140

铁路电视,http://183.220.20.17:4321/udp/239.11.0.190:5140
成铁电视,http://183.220.20.17:4321/udp/239.11.0.191:5140
CD1HD,http://183.220.20.17:4321/udp/239.10.0.11:5140
CD2HD,http://183.220.20.17:4321/udp/239.10.0.12:5140
CD3HD,http://183.220.20.17:4321/udp/239.10.0.13:5140
CD4HD,http://183.220.20.17:4321/udp/239.10.0.14:5140
CD5HD,http://183.220.20.17:4321/udp/239.10.0.15:5140
CD6HD,http://183.220.20.17:4321/udp/239.10.0.16:5140



动漫秀场HD,http://183.220.20.17:4321/udp/239.10.0.101:5140
生活时尚HD,http://183.220.20.17:4321/udp/239.10.0.102:5140
游戏风云HD,http://183.220.20.17:4321/udp/239.10.0.103:5140
全纪实HD,http://183.220.20.17:4321/udp/239.10.0.105:5140
都市剧场HD,http://183.220.20.17:4321/udp/239.10.0.106:5140
足球频道HD,http://183.220.20.17:4321/udp/239.10.0.107:5140
IPTV星影,http://183.220.20.17:4321/udp/239.10.0.156:5140
IPTV热播剧场,http://183.220.20.17:4321/udp/239.10.0.121:5140
IPTV经典电影,http://183.220.20.17:4321/udp/239.10.0.122:5140
IPTV谍战剧场,http://183.220.20.17:4321/udp/239.10.0.123:5140
IPTV城市剧场,http://183.220.20.17:4321/udp/239.10.0.124:5140
IPTV军旅剧场,http://183.220.20.17:4321/udp/239.10.0.125:5140
IPTV古装剧场,http://183.220.20.17:4321/udp/239.10.0.126:5140
IPTV家庭影院,http://183.220.20.17:4321/udp/239.10.0.127:5140
IPTV喜剧影院,http://183.220.20.17:4321/udp/239.10.0.132:5140
IPTV武侠剧场,http://183.220.20.17:4321/udp/239.10.0.133:5140
IPTV戏曲,http://183.220.20.17:4321/udp/239.10.0.150:5140
IPTV光影,http://183.220.20.17:4321/udp/239.10.0.153:5140
IPTV高网,http://183.220.20.17:4321/udp/239.10.0.164:5140
IPTV国学,http://183.220.20.17:4321/udp/239.10.0.186:5140
IPTV地理,http://183.220.20.17:4321/udp/239.10.0.190:5140

快乐垂钓,http://183.220.20.17:4321/udp/239.10.0.128:5140
欢笑剧场,http://183.220.20.17:4321/udp/239.10.0.129:5140
天府TV经典再现,http://183.220.20.17:4321/udp/239.10.0.130:5140
天府TV军旅谍战,http://183.220.20.17:4321/udp/239.10.0.131:5140
BesTV太极养生,http://183.220.20.17:4321/udp/239.10.0.135:5140
天府教育综合,http://183.220.20.17:4321/udp/239.10.0.136:5140
天府辣妈学院,http://183.220.20.17:4321/udp/239.10.0.137:5140
天府风尚美食,http://183.220.20.17:4321/udp/239.10.0.138:5140
天府健康生活,http://183.220.20.17:4321/udp/239.10.0.139:5140
天府魔力荟萃,http://183.220.20.17:4321/udp/239.10.0.140:5140
天府时尚天地,http://183.220.20.17:4321/udp/239.10.0.141:5140
天府星动娱乐,http://183.220.20.17:4321/udp/239.10.0.142:5140
中国交通,http://183.220.20.17:4321/udp/239.10.0.143:5140
